Frame,Time,Ego_X,Ego_Y,Ego_Vel,Ego_Acc,Ego_Heading,Risk_Source_Dist,D_Lat,D_Critical,D_Outer,Risk_Cost_Raw,Vel_Factor,Risk_Cost_Total,TTA_Ego,TTA_Human,V_Required,Phantom_State,Is_Phantom_Active,Phantom_Virtual_Dist,Min_Dist_To_Ghost,Is_Collision,Ctrl_Acc,Ctrl_Steer
46,2757.026,3891.487,2447.72,4.749,0.0,-2.0574,-1,-1,0.642,7.0,0.0,1.0,0.0,-1,-1,0.0,0,0,0.0,-1,0,-4.0,0.0
47,2848.845,3891.272,2447.315,4.349,0.0,-2.0574,-1,-1,0.63,7.0,0.0,1.0,0.0,-1,-1,0.0,0,0,0.0,-1,0,-4.0,0.0
48,2922.226,3891.076,2446.944,3.949,0.0,-2.0574,-1,-1,0.618,7.0,0.0,1.0,0.0,-1,-1,0.0,0,0,0.0,-1,0,-4.0,0.0
49,2956.189,3890.899,2446.609,3.549,0.0,-2.0574,-1,-1,0.606,7.0,0.0,1.0,0.0,-1,-1,0.0,0,0,0.0,-1,0,-4.0,0.0
50,3009.097,3890.74,2446.31,3.149,0.0,-2.0574,-1,-1,0.594,7.0,0.0,1.0,0.0,-1,-1,0.0,0,0,0.0,-1,0,-4.0,0.0
51,3049.454,3890.601,2446.046,2.749,0.0,-2.0574,-1,-1,0.582,7.0,0.0,1.0,0.0,-1,-1,0.0,0,0,0.0,-1,0,-4.0,0.0
52,3097.444,3890.48,2445.817,2.349,0.0,-2.0574,-1,-1,0.57,7.0,0.0,1.0,0.0,-1,-1,0.0,0,0,0.0,-1,0,-4.0,0.0
53,3135.719,3890.377,2445.623,1.949,0.0,-2.0574,-1,-1,0.558,7.0,0.0,1.0,0.0,-1,-1,0.0,0,0,0.0,-1,0,-4.0,0.0
54,3168.916,3890.294,2445.465,1.549,0.0,-2.0574,-1,-1,0.546,7.0,0.0,1.0,0.0,-1,-1,0.0,0,0,0.0,-1,0,-4.0,0.0
55,3242.564,3890.229,2445.342,1.149,0.0,-2.0574,-1,-1,0.534,7.0,0.0,1.0,0.0,-1,-1,0.0,0,0,0.0,-1,0,-4.0,0.0
56,3301.802,3890.182,2445.255,0.749,0.0,-2.0574,-1,-1,0.522,7.0,0.0,1.0,0.0,-1,-1,0.0,0,0,0.0,-1,0,-3.7461,0.0
57,3365.843,3890.154,2445.202,0.375,0.0,-2.0574,-1,-1,0.511,7.0,0.0,1.0,0.0,-1,-1,0.0,0,0,0.0,-1,0,-1.8731,0.0
58,3430.613,3890.14,2445.175,0.187,0.0,-2.0574,-1,-1,0.506,7.0,0.0,1.0,0.0,-1,-1,0.0,0,0,0.0,-1,0,-0.9365,0.0
59,3477.888,3890.133,2445.162,0.094,0.0,-2.0574,-1,-1,0.503,7.0,0.0,1.0,0.0,-1,-1,0.0,0,0,0.0,-1,0,-0.4683,0.0
60,3524.501,3890.13,2445.156,0.047,0.0,-2.0574,-1,-1,0.501,7.0,0.0,1.0,0.0,-1,-1,0.0,0,0,0.0,-1,0,0.0,0.0
