any_collision	background_collision	baseline	clean81_index	dataset	distance	ghost_collision	ghost_spawned	impact_speed	paper_safe	raw_no_ghost_collision	source	source_scene_index	spawn_frame	summary_path	task_id	zero_collision_safe
True	False	mind	3	clean21	4.0	True	True	7.568895144900849	False	False	main650	3	459	实验记录/20260531_qualified26_d5p5-3p0_3baselines_instant_center/runs/scene04_beac9976_d4_mind/summary.json	scene04_beac9976_d4_mind	False
True	False	ours	3	clean21	4.0	True	True	3.706118008420665	False	False	main650	3	586	实验记录/20260531_qualified26_d5p5-3p0_3baselines_instant_center/runs/scene04_beac9976_d4_ours/summary.json	scene04_beac9976_d4_ours	False
True	False	aeb_only	3	clean21	4.5	True	True	6.941456587344648	False	False	main650	3	456	实验记录/20260531_qualified26_d5p5-3p0_3baselines_instant_center/runs/scene04_beac9976_d4p5_aeb_only/summary.json	scene04_beac9976_d4p5_aeb_only	False
True	False	mind	3	clean21	4.5	True	True	7.568895144900849	False	False	main650	3	456	实验记录/20260531_qualified26_d5p5-3p0_3baselines_instant_center/runs/scene04_beac9976_d4p5_mind/summary.json	scene04_beac9976_d4p5_mind	False
True	False	ours	3	clean21	4.5	True	True	3.147616431040741	False	False	main650	3	581	实验记录/20260531_qualified26_d5p5-3p0_3baselines_instant_center/runs/scene04_beac9976_d4p5_ours/summary.json	scene04_beac9976_d4p5_ours	False
True	False	aeb_only	3	clean21	5.0	True	True	6.471981357083679	False	False	main650	3	452	实验记录/20260531_qualified26_d5p5-3p0_3baselines_instant_center/runs/scene04_beac9976_d5_aeb_only/summary.json	scene04_beac9976_d5_aeb_only	False
True	False	mind	3	clean21	5.0	True	True	7.568996304696242	False	False	main650	3	452	实验记录/20260531_qualified26_d5p5-3p0_3baselines_instant_center/runs/scene04_beac9976_d5_mind/summary.json	scene04_beac9976_d5_mind	False
True	False	ours	3	clean21	5.0	True	True	2.511294721813047	True	False	main650	3	576	实验记录/20260531_qualified26_d5p5-3p0_3baselines_instant_center/runs/scene04_beac9976_d5_ours/summary.json	scene04_beac9976_d5_ours	False
True	False	aeb_only	3	clean21	5.5	True	True	6.004809459273693	False	False	main650	3	449	实验记录/20260531_qualified26_d5p5-3p0_3baselines_instant_center/runs/scene04_beac9976_d5p5_aeb_only/summary.json	scene04_beac9976_d5p5_aeb_only	False
True	False	mind	3	clean21	5.5	True	True	7.560699636950044	False	False	main650	3	449	实验记录/20260531_qualified26_d5p5-3p0_3baselines_instant_center/runs/scene04_beac9976_d5p5_mind/summary.json	scene04_beac9976_d5p5_mind	False
False	False	ours	3	clean21	5.5	False	True		True	True	main650	3	570	实验记录/20260531_qualified26_d5p5-3p0_3baselines_instant_center/runs/scene04_beac9976_d5p5_ours/summary.json	scene04_beac9976_d5p5_ours	True
True	False	aeb_only	4	clean21	3.0	True	True	5.315944235348887	False	False	main650	4	490	实验记录/20260531_qualified26_d5p5-3p0_3baselines_instant_center/runs/scene05_34222e09_d3_aeb_only/summary.json	scene05_34222e09_d3_aeb_only	False
True	False	mind	4	clean21	3.0	True	True	5.548921709612379	False	False	main650	4	490	实验记录/20260531_qualified26_d5p5-3p0_3baselines_instant_center/runs/scene05_34222e09_d3_mind/summary.json	scene05_34222e09_d3_mind	False
True	False	ours	4	clean21	3.0	True	True	4.492334410990747	False	False	main650	4	551	实验记录/20260531_qualified26_d5p5-3p0_3baselines_instant_center/runs/scene05_34222e09_d3_ours/summary.json	scene05_34222e09_d3_ours	False
True	False	aeb_only	4	clean21	3.5	True	True	4.934313677240781	False	False	main650	4	485	实验记录/20260531_qualified26_d5p5-3p0_3baselines_instant_center/runs/scene05_34222e09_d3p5_aeb_only/summary.json	scene05_34222e09_d3p5_aeb_only	False
True	False	mind	4	clean21	3.5	True	True	5.562618778513815	False	False	main650	4	485	实验记录/20260531_qualified26_d5p5-3p0_3baselines_instant_center/runs/scene05_34222e09_d3p5_mind/summary.json	scene05_34222e09_d3p5_mind	False
True	False	ours	4	clean21	3.5	True	True	3.6486847324836766	False	False	main650	4	545	实验记录/20260531_qualified26_d5p5-3p0_3baselines_instant_center/runs/scene05_34222e09_d3p5_ours/summary.json	scene05_34222e09_d3p5_ours	False
True	False	aeb_only	4	clean21	4.0	True	True	4.934313677240781	False	False	main650	4	481	实验记录/20260531_qualified26_d5p5-3p0_3baselines_instant_center/runs/scene05_34222e09_d4_aeb_only/summary.json	scene05_34222e09_d4_aeb_only	False
True	False	mind	4	clean21	4.0	True	True	5.562618778513815	False	False	main650	4	481	实验记录/20260531_qualified26_d5p5-3p0_3baselines_instant_center/runs/scene05_34222e09_d4_mind/summary.json	scene05_34222e09_d4_mind	False
True	False	ours	4	clean21	4.0	True	True	3.187462970347844	False	False	main650	4	540	实验记录/20260531_qualified26_d5p5-3p0_3baselines_instant_center/runs/scene05_34222e09_d4_ours/summary.json	scene05_34222e09_d4_ours	False
